current_grad_norm,current_param_norm,grad_norm,lg_loss_scale,loss,loss_q1,loss_q2,mse,mse_q1,mse_q2,param_norm,samples,step,vb,vb_q1,vb_q2,loss_q0,loss_q3,mse_q0,mse_q3,vb_q0,vb_q3
0.014945693312278602,716.3775089591089,0.014945693312278602,20.0,0.00032403061049990356,0.000861579435877502,5.525619781110436e-05,0.00032152875792235136,0.0008550533093512058,5.4766474931966513e-05,716.3775089591089,600006,100000,2.5018573523993837e-06,6.526124252559384e-06,4.897237886325456e-07,,,,,,
0.03775398260861491,716.4718864270445,0.039897064849017116,20.05050000000004,0.007742070089207115,0.00040206826719547863,7.868849220358235e-05,0.004265652312988093,0.0003990805726061807,7.795767731977322e-05,716.4230576289544,600606,100100,0.0034764177774319186,2.9876940568088045e-06,7.308143793238744e-07,0.03219485887191848,3.889267371185403e-05,0.017510012253745082,3.8403789341917924e-05,0.014684845932472044,4.888844757499764e-07
0.03515091061955019,716.5585922721465,0.03018312267582865,20.150500000000196,0.006617929963204004,0.0004804340853959067,6.377220822062779e-05,0.0034043710549576636,0.00047683618669742094,6.318599480437119e-05,716.512901185436,601206,100200,0.003213558784268285,3.597896327857019e-06,5.862131623068197e-07,0.03280712401107647,3.381425253074236e-05,0.016473673304771796,3.3390401289292855e-05,0.016333451469971935,4.238511850735748e-07
0.02208748076119274,716.6289777131043,0.028054912243273646,20.250500000000297,0.005608464445940629,0.00040427414782376537,6.410652334428352e-05,0.004360167144423029,0.00040128323785100327,6.351296512245123e-05,716.5940842443379,601806,100300,0.0012482973325489868,2.9909099900922284e-06,5.935582213586106e-07,0.019798099983789324,3.0668162774721475e-05,0.015289916474574129,3.0280039694237827e-05,0.004508183318459644,3.881229580808091e-07
0.030172901207274085,716.7154624114731,0.025742757898405494,20.350500000000423,0.005083905624796898,0.00038776533493849766,6.1506852034654e-05,0.004019668061391708,0.0003849081291506689,6.0954508386304144e-05,716.6755513337131,602406,100400,0.0010642374674432642,2.857206237270779e-06,5.523438623021722e-07,0.017735997067315365,2.662281702583457e-05,0.013938445041449518,2.6292375825531945e-05,0.0037975520392808993,3.3044111915657676e-07
0.009490086047399161,716.7726454031005,0.01618575375824627,20.450500000000545,0.0026416086695280677,0.00041191809413292156,4.3417931157605104e-05,0.0025058970475947693,0.0004088818120743824,4.30183879282541e-05,716.7422896917977,603006,100500,0.000135711602481905,3.0362811321267502e-06,3.9954335683071744e-07,0.009789836628501627,1.5656498577223375e-05,0.009264939509229379,1.545668431095743e-05,0.0005248970971845297,1.9981430769758573e-07
0.010291029439914496,716.823105788306,0.014154677928032029,20.550500000000667,0.002825968763918355,0.0003696607237532275,4.240268673432487e-05,0.0025536480238133666,0.00036692475412475,4.2014666523755284e-05,716.7965252785322,603606,100600,0.0002723206618097862,2.735969292680351e-06,3.880197911598769e-07,0.011967354566235468,1.1681095525330564e-05,0.010769788573858984,1.1536358646193735e-05,0.001197565885898739,1.4473690616783292e-07
0.017627837682076538,716.8960251879681,0.016940959573087274,20.65050000000079,0.006300075978269886,0.0003594052264256439,5.2811965127684484e-05,0.0033446171964533282,0.00035675747476022617,5.2337892798394185e-05,716.8595914549076,604206,100700,0.002955458756094202,2.6477510911531554e-06,4.740720557313476e-07,0.023806202554857384,1.49389152249679e-05,0.012442337715466966,1.4747747916937275e-05,0.011363865304118896,1.9116731109887275e-07
0.012939636955335914,716.9627508399966,0.01660169619789553,20.75050000000091,0.005455352768422015,0.00040948022445368013,5.009235175511213e-05,0.0031803031679555715,0.00040643491205419633,4.964152775347176e-05,716.9312618893972,604806,100800,0.0022750495870992884,3.0453155072344277e-06,4.508240265608221e-07,0.018684507962207986,1.5517305558075486e-05,0.010751001843451633,1.5321113556594694e-05,0.007933506207781079,1.961919840978578e-07
0.02154416784925307,717.0183768109035,0.022529190420443865,20.850500000001045,0.0022690421324750784,0.000355999284532599,5.363384332914944e-05,0.0018271336228008297,0.0003532672048202262,5.314096103384259e-05,716.9866625518308,605406,100900,0.00044190856587917444,2.7320807999210645e-06,4.92882054950427e-07,0.009161223040100084,2.1418757086166817e-05,0.007297493303834108,2.1143245368193686e-05,0.0018637298505644806,2.755117412212017e-07
0.01915480020155863,717.0854979545995,0.017939874132058754,20.670220000001162,0.005811214271989228,0.00035600098827241077,5.041630638870275e-05,0.003188827147960182,0.0003533454835537428,4.99572835504697e-05,717.051667124848,606006,101000,0.002622387001215145,2.655507920223954e-06,4.59022453063491e-07,0.025925201063121975,1.6823988000486465e-05,0.014009112841449671,1.661379706036562e-05,0.011916088711421417,2.101909727641536e-07
0.03000670359416185,717.208522430331,0.03316630205735565,20.049500000001277,0.006441867049943539,0.00045520558150100347,8.172111959235434e-05,0.0032963234853923473,0.000451787758215182,8.097145283196979e-05,717.1399227532779,606606,101100,0.003145543616166151,3.417824290844843e-06,7.496666546558118e-07,0.02625639551277142,3.945307651205732e-05,0.013154730482912982,3.894855372880242e-05,0.013101664827363241,5.045229270301463e-07
0.01446869284466957,717.2972699082495,0.028093335743272996,19.5889400000014,0.0039018408934134658,0.0003757500773445666,6.454830455974542e-05,0.003378557830401406,0.0003728530237535715,6.39491596656525e-05,717.2546213362637,607206,101200,0.0005232830087160778,2.897052661254537e-06,5.991447089570555e-07,0.01291564855108102,2.8327286640684284e-05,0.011134899553078205,2.7963549329607335e-05,0.0017807488720610444,3.637374468224206e-07
